,Gemeinde,Energiequelle,Anzahl
0,Zürich,Gas,21642
1,Zürich,Keine,15039
2,Zürich,Heizöl,12709
3,Basel,Fernwärme,9661
4,Basel,Gas,8806
5,Winterthur,,8633
6,Bern,Gas,7406
7,Zürich,Fernwärme,7048
8,Winterthur,Heizöl,6510
9,Bellinzona,,6179
10,Bern,,6128
11,Bern,Heizöl,6045
12,Bellinzona,Heizöl,5989
13,Winterthur,Gas,5862
14,Lugano,Heizöl,5452
15,Luzern,Gas,4777
16,St. Gallen,,4764
17,St. Gallen,Gas,4689
18,Thun,,4618
19,Biel/Bienne,Gas,4397
20,Köniz,,4390
21,Glarus Süd,,4369
22,Genève,Heizöl,3982
23,Genève,Gas,3923
24,Lausanne,,3904
25,Lausanne,Gas,3898
26,Lausanne,Heizöl,3796
27,Glarus Nord,,3756
28,St. Gallen,Heizöl,3741
29,Köniz,Heizöl,3649
30,Schaffhausen,Gas,3548
31,Muttenz,Keine,3476
32,Thun,Gas,3446
33,Thun,Heizöl,3434
34,Schaffhausen,,3327
35,Lugano,,3281
36,Uster,Gas,3239
37,Sion,Gas,3058
38,Saanen,,2911
39,Zürich,Erdwärme,2813
40,Luzern,Heizöl,2798
41,Davos,,2752
42,Basel,Keine,2752
43,Anniviers,,2738
44,Glarus Nord,Heizöl,2717
45,Glarus,,2715
46,Neuchâtel,Gas,2695
47,Uster,,2660
48,Val de Bagnes,Elektrizität,2659
49,Neuchâtel,Heizöl,2633
50,Chur,Gas,2622
51,Grindelwald,,2598
52,Mendrisio,Heizöl,2584
53,Rapperswil-Jona,,2544
54,Pratteln,Keine,2511
55,Frutigen,,2502
56,Frauenfeld,,2467
57,Schwarzenburg,,2450
58,Serravalle,,2447
59,Wädenswil,,2431
60,Steffisburg,,2412
61,Maggia,,2407
62,Lugano,Gas,2396
63,Altstätten,,2387
64,Schaffhausen,Heizöl,2372
65,Aarau,,2357
66,Bellinzona,Unbestimmt,2352
67,Biel/Bienne,Heizöl,2349
68,Glarus Süd,Holz,2341
69,Mels,,2334
70,Frauenfeld,Gas,2324
71,Muttenz,Gas,2318
72,Allschwil,Gas,2304
73,Spiez,,2280
74,Reinach (BL),Keine,2280
75,Winterthur,Unbestimmt,2266
76,Reinach (BL),Gas,2250
77,Langenthal,Gas,2232
78,Luzern,,2218
79,Liestal,Keine,2209
80,Fribourg,,2205
81,Yverdon-les-Bains,,2204
82,Wettingen,Heizöl,2202
83,Solothurn,Gas,2202
84,Einsiedeln,,2199
85,Schwyz,,2195
86,Basel,Heizöl,2163
87,Spiez,Heizöl,2142
88,Münchenstein,Keine,2132
89,Lauterbrunnen,,2115
90,Allschwil,Keine,2104
91,Wattwil,,2104
92,Estavayer,,2096
93,Horgen,,2093
94,Oberriet (SG),,2076
95,Riehen,Gas,2060
96,Murten,,2050
97,Olten,Gas,2048
98,Herisau,,2046
99,Langnau im Emmental,,2043
100,La Chaux-de-Fonds,Heizöl,2042
101,Bulle,,2031
102,Gibloux,,2029
103,Emmen,Heizöl,2008
104,Haute-Sorne,,2007
105,Bellinzona,Elektrizität,1971
106,Oberwil (BL),Keine,1970
107,Wetzikon (ZH),,1955
108,Rapperswil-Jona,Gas,1941
109,Davos,Heizöl,1928
110,Ollon,,1927
111,Düdingen,,1920
112,Sigriswil,,1917
113,Mendrisio,,1915
114,Biel/Bienne,Keine,1904
115,Neckertal,,1904
116,Conthey,,1895
117,Ebnat-Kappel,,1886
118,Montreux,Gas,1885
119,Grenchen,Gas,1883
120,Einsiedeln,Heizöl,1877
121,Tafers,,1874
