Gemeinde,PaxGas,PaxElektrizität,PaxÖl,PaxKeine,PaxUnbestimmt,PaxWeitere
Aadorf,2912.0,355.0,2946.0,6.0,1616.0,1586.0
Aarau,8108.0,683.0,8240.0,0.0,2997.0,1738.0
Aarberg,700.0,208.0,1935.0,14.0,1364.0,400.0
Aarburg,3048.0,218.0,2952.0,11.0,1723.0,703.0
Aarwangen,86.0,148.0,2496.0,5.0,1376.0,643.0
Abtwil,0.0,20.0,349.0,5.0,406.0,214.0
Aclens,249.0,40.0,134.0,0.0,52.0,50.0
Acquarossa,28.0,894.0,456.0,2.0,334.0,252.0
Adelboden,3.0,99.0,1867.0,4.0,328.0,1199.0
Adligenswil,18.0,632.0,1952.0,0.0,2094.0,766.0
Adliswil,5920.0,300.0,7443.0,128.0,3121.0,2237.0
Aedermannsdorf,0.0,12.0,337.0,0.0,82.0,166.0
Aefligen,384.0,14.0,303.0,0.0,335.0,113.0
Aegerten,0.0,169.0,1154.0,35.0,597.0,355.0
Aesch (BL),4460.0,49.0,2267.0,1588.0,9.0,2191.0
Aesch (LU),3.0,64.0,343.0,0.0,589.0,336.0
Aesch (ZH),0.0,51.0,603.0,0.0,706.0,342.0
Aeschi (SO),11.0,39.0,628.0,15.0,349.0,284.0
Aeschi bei Spiez,9.0,147.0,1049.0,0.0,456.0,673.0
Aeugst am Albis,6.0,47.0,534.0,6.0,1066.0,345.0
Affeltrangen,201.0,132.0,1176.0,14.0,454.0,708.0
Affoltern am Albis,52.0,614.0,6067.0,16.0,3181.0,2474.0
Affoltern im Emmental,0.0,67.0,394.0,6.0,179.0,573.0
Agarn,10.0,72.0,428.0,5.0,127.0,63.0
Agiez,208.0,28.0,54.0,4.0,24.0,78.0
Agno,453.0,308.0,2771.0,2.0,539.0,305.0
Aigle,6967.0,262.0,2422.0,14.0,648.0,514.0
Aire-la-Ville,86.0,145.0,613.0,0.0,52.0,248.0
Airolo,7.0,409.0,669.0,2.0,186.0,193.0
Alberswil,0.0,13.0,315.0,0.0,217.0,114.0
Albinen,0.0,84.0,76.0,0.0,31.0,70.0
Albula/Alvra,2.0,338.0,420.0,0.0,174.0,398.0
Alchenstorf,4.0,10.0,174.0,8.0,123.0,293.0
Allaman,5.0,72.0,272.0,0.0,56.0,46.0
Alle,0.0,110.0,981.0,0.0,479.0,338.0
Allmendingen,18.0,75.0,218.0,1.0,92.0,191.0
Allschwil,9936.0,235.0,4381.0,3487.0,21.0,3283.0
Alpnach,4.0,260.0,2327.0,18.0,1559.0,2053.0
Alpthal,7.0,113.0,125.0,9.0,122.0,274.0
Altbüron,0.0,35.0,274.0,0.0,326.0,429.0
Altdorf (UR),31.0,567.0,4524.0,0.0,2318.0,2221.0
Altendorf,1486.0,448.0,2607.0,14.0,1573.0,1204.0
Altikon,0.0,20.0,281.0,0.0,210.0,218.0
Altishofen,0.0,73.0,853.0,0.0,423.0,649.0
Altnau,827.0,22.0,672.0,4.0,550.0,254.0
Alto Malcantone,25.0,333.0,559.0,0.0,330.0,162.0
Altstätten,2034.0,94.0,3873.0,14.0,1220.0,5052.0
Amden,1.0,115.0,696.0,6.0,419.0,780.0
Amlikon-Bissegg,6.0,30.0,492.0,12.0,402.0,453.0
Ammerswil,0.0,41.0,282.0,2.0,261.0,151.0
Amriswil,4074.0,249.0,5230.0,6.0,2662.0,2115.0
Amsoldingen,14.0,20.0,390.0,9.0,121.0,241.0
Andeer,0.0,112.0,149.0,0.0,254.0,425.0
Andelfingen,13.0,316.0,1046.0,10.0,1131.0,945.0
Andermatt,0.0,62.0,831.0,0.0,218.0,439.0
Andwil (SG),0.0,49.0,858.0,8.0,780.0,404.0
Anières,989.0,156.0,990.0,3.0,224.0,87.0
Anniviers,10.0,1119.0,871.0,6.0,410.0,480.0
Anwil,0.0,4.0,128.0,97.0,0.0,299.0
Appenzell,374.0,176.0,2632.0,19.0,1790.0,950.0
Aranno,2.0,35.0,200.0,0.0,94.0,38.0
Arbaz,7.0,273.0,448.0,4.0,361.0,328.0
Arbedo-Castione,128.0,551.0,2777.0,3.0,1499.0,169.0
Arboldswil,2.0,15.0,200.0,78.0,0.0,295.0
Arbon,3639.0,308.0,6754.0,25.0,1904.0,2551.0
Arch,373.0,81.0,767.0,3.0,271.0,228.0
Ardon,449.0,331.0,1308.0,3.0,1045.0,291.0
Arisdorf,0.0,32.0,777.0,218.0,17.0,698.0
Aristau,0.0,17.0,662.0,0.0,525.0,359.0
Arlesheim,4140.0,49.0,1830.0,1392.0,14.0,1755.0
Arnex-sur-Nyon,5.0,19.0,79.0,0.0,80.0,48.0
Arnex-sur-Orbe,319.0,47.0,147.0,0.0,66.0,99.0
Arni (AG),25.0,36.0,1016.0,3.0,406.0,411.0
Arni (BE),0.0,27.0,247.0,20.0,83.0,617.0
Arogno,21.0,215.0,462.0,9.0,190.0,119.0
Arosa,9.0,323.0,1847.0,5.0,270.0,773.0
Arth,742.0,443.0,5815.0,19.0,2540.0,2860.0
Arzier-Le Muids,84.0,654.0,1041.0,0.0,668.0,552.0
Ascona,9.0,886.0,3042.0,0.0,1190.0,261.0
Assens,650.0,188.0,547.0,6.0,201.0,84.0
Astano,1.0,77.0,161.0,0.0,51.0,22.0
Attalens,396.0,267.0,1161.0,0.0,961.0,880.0
Attinghausen,0.0,168.0,499.0,0.0,629.0,476.0
Attiswil,2.0,65.0,897.0,6.0,314.0,224.0
Au (SG),1624.0,125.0,3791.0,0.0,1882.0,764.0
Aubonne,2010.0,288.0,1073.0,6.0,288.0,195.0
Auboranges,5.0,18.0,128.0,0.0,95.0,58.0
Auenstein,0.0,147.0,770.0,0.0,581.0,166.0
Augst,470.0,19.0,231.0,186.0,0.0,153.0
Ausserberg,0.0,45.0,267.0,0.0,56.0,276.0
Auswil,3.0,14.0,156.0,0.0,97.0,224.0
Autigny,4.0,68.0,286.0,0.0,263.0,181.0
Auw,5.0,122.0,807.0,8.0,753.0,596.0
Avegno Gordevio,5.0,381.0,586.0,1.0,483.0,111.0
Avenches,250.0,298.0,2225.0,7.0,514.0,1364.0
Avers,0.0,46.0,24.0,0.0,22.0,101.0
Avry,159.0,110.0,721.0,3.0,634.0,292.0
Avully,19.0,58.0,1570.0,0.0,30.0,52.0
Avusy,151.0,161.0,857.0,1.0,113.0,93.0
Ayent,84.0,653.0,1351.0,7.0,857.0,1345.0
Baar,8745.0,569.0,10329.0,30.0,3570.0,1661.0
Bachenbülach,164.0,64.0,1714.0,0.0,1968.0,312.0
Bachs,2.0,20.0,257.0,0.0,163.0,199.0
Bad Ragaz,25.0,122.0,3833.0,5.0,1907.0,675.0
Baden,6139.0,470.0,7321.0,11.0,3075.0,2659.0
Balerna,1078.0,355.0,1571.0,0.0,253.0,69.0
Balgach,1447.0,40.0,1759.0,52.0,1121.0,576.0
Ballaigues,479.0,27.0,466.0,0.0,65.0,144.0
Ballens,247.0,20.0,214.0,0.0,26.0,69.0
Ballwil,46.0,82.0,890.0,3.0,790.0,874.0
Balm bei Günsberg,0.0,21.0,96.0,0.0,66.0,51.0
Balsthal,465.0,205.0,4009.0,10.0,1190.0,444.0
Baltschieder,17.0,69.0,574.0,1.0,560.0,117.0
Bannwil,0.0,55.0,308.0,0.0,191.0,144.0
Bardonnex,1183.0,116.0,922.0,0.0,221.0,57.0
Bargen (BE),86.0,5.0,458.0,10.0,217.0,311.0
Bargen (SH),3.0,16.0,139.0,0.0,77.0,99.0
Bas-Intyamon,1.0,98.0,546.0,7.0,533.0,430.0
Basadingen-Schlattingen,23.0,86.0,703.0,5.0,666.0,390.0
Basel,56091.0,573.0,13664.0,1419.0,3955.0,97212.0
Basse-Allaine,0.0,98.0,783.0,2.0,148.0,235.0
Bassersdorf,84.0,161.0,7106.0,0.0,3416.0,1196.0
Bassins,118.0,200.0,648.0,0.0,195.0,329.0
Baulmes,3.0,55.0,414.0,0.0,75.0,588.0
Bauma,9.0,275.0,2174.0,44.0,1356.0,1131.0
Bavois,15.0,105.0,518.0,2.0,177.0,173.0
Beatenberg,0.0,109.0,647.0,2.0,127.0,404.0
Beckenried,6.0,401.0,1404.0,12.0,1049.0,898.0
Bedano,131.0,210.0,821.0,0.0,355.0,42.0
Bedigliora,9.0,155.0,273.0,1.0,137.0,38.0
Bedretto,0.0,41.0,13.0,0.0,12.0,49.0
Beggingen,6.0,25.0,154.0,0.0,35.0,274.0
Begnins,35.0,205.0,1108.0,0.0,343.0,278.0
Beinwil (Freiamt),0.0,62.0,424.0,0.0,435.0,297.0
Beinwil (SO),3.0,8.0,92.0,0.0,26.0,184.0
Beinwil am See,10.0,91.0,1676.0,6.0,1208.0,472.0
Belfaux,396.0,230.0,1154.0,0.0,970.0,623.0
Bellach,1671.0,61.0,1983.0,0.0,1172.0,501.0
Bellevue,1655.0,237.0,1074.0,0.0,446.0,152.0
Bellikon,12.0,23.0,941.0,10.0,443.0,152.0
Bellinzona,1184.0,5340.0,23986.0,25.0,9862.0,3660.0
Bellmund,12.0,63.0,803.0,12.0,617.0,276.0
Bellwald,1.0,171.0,130.0,1.0,17.0,52.0
Belmont-Broye,268.0,291.0,1908.0,7.0,1898.0,1468.0
Belmont-sur-Lausanne,311.0,206.0,2410.0,0.0,616.0,327.0
Belmont-sur-Yverdon,19.0,39.0,191.0,0.0,91.0,83.0
Belp,544.0,280.0,6452.0,22.0,2293.0,2035.0
Belprahon,0.0,30.0,176.0,0.0,45.0,33.0
Benken (SG),18.0,99.0,1074.0,5.0,1047.0,840.0
Benken (ZH),0.0,19.0,346.0,0.0,221.0,280.0
Bennwil,0.0,16.0,146.0,104.0,0.0,399.0
Bercher,561.0,142.0,308.0,0.0,198.0,124.0
Berg (SG),3.0,15.0,449.0,0.0,291.0,144.0
Berg (TG),1327.0,72.0,722.0,12.0,725.0,625.0
Berg am Irchel,7.0,27.0,185.0,0.0,179.0,241.0
Bergdietikon,4.0,176.0,1411.0,0.0,977.0,338.0
Bergün Filisur,1.0,93.0,420.0,2.0,109.0,311.0
Berikon,7.0,134.0,3207.0,12.0,1089.0,336.0
Beringen,984.0,171.0,1818.0,0.0,1360.0,792.0
Berken,0.0,3.0,9.0,4.0,5.0,25.0
Berlingen,377.0,69.0,230.0,3.0,86.0,153.0
Bern,54323.0,1764.0,46549.0,32.0,17413.0,14193.0
Berneck,1111.0,50.0,1267.0,17.0,308.0,1310.0
Bernex,2231.0,484.0,5828.0,17.0,942.0,712.0
Berolle,109.0,32.0,90.0,0.0,18.0,84.0
Beromünster,37.0,205.0,2314.0,42.0,1845.0,2319.0
Besenbüren,0.0,1.0,235.0,6.0,244.0,155.0
Bettenhausen,143.0,58.0,156.0,0.0,100.0,200.0
Bettens,351.0,29.0,158.0,0.0,68.0,29.0
Bettingen,663.0,10.0,314.0,29.0,32.0,169.0
Bettlach,1569.0,114.0,2032.0,0.0,791.0,509.0
Bettmeralp,0.0,271.0,77.0,0.0,62.0,66.0
Bettwiesen,221.0,39.0,519.0,4.0,244.0,235.0
Bettwil,26.0,28.0,198.0,0.0,222.0,208.0
Beurnevésin,3.0,1.0,63.0,0.0,16.0,47.0
Bever,0.0,32.0,416.0,0.0,100.0,69.0
Bex,4138.0,213.0,2478.0,4.0,511.0,951.0
Biasca,36.0,1519.0,2477.0,10.0,1495.0,626.0
Biberist,3632.0,208.0,3030.0,4.0,1675.0,689.0
Biberstein,6.0,275.0,593.0,2.0,509.0,239.0
Bichelsee-Balterswil,111.0,121.0,980.0,2.0,557.0,1322.0
Biel-Benken,0.0,60.0,1416.0,835.0,6.0,1266.0
Biel/Bienne,25804.0,770.0,17276.0,26.0,7278.0,4007.0
Bielersee (BE),6.0,6.0,54.0,5.0,58.0,8.0
Bielersee (NE),0.0,3.0,4.0,0.0,3.0,2.0
Biezwil,0.0,17.0,179.0,0.0,41.0,135.0
Biglen,6.0,61.0,922.0,8.0,563.0,324.0
Billens-Hennens,9.0,51.0,292.0,0.0,310.0,222.0
Binn,2.0,27.0,31.0,0.0,0.0,79.0
Binningen,6902.0,123.0,2929.0,2708.0,12.0,3224.0
Bioggio,414.0,281.0,1376.0,5.0,537.0,115.0
Bioley-Magnoux,17.0,6.0,118.0,2.0,51.0,42.0
Birmensdorf (ZH),265.0,198.0,3678.0,6.0,2055.0,767.0
Birmenstorf (AG),107.0,59.0,1534.0,8.0,621.0,656.0
Birr,2448.0,186.0,660.0,4.0,882.0,223.0
Birrhard,66.0,55.0,322.0,4.0,253.0,70.0
Birrwil,2.0,48.0,483.0,4.0,443.0,309.0
Birsfelden,3882.0,106.0,2085.0,1887.0,38.0,2367.0
Birwinken,3.0,64.0,566.0,7.0,276.0,453.0
Bischofszell,1347.0,172.0,2508.0,2.0,1089.0,879.0
Bissone,38.0,136.0,646.0,0.0,144.0,29.0
Bister,0.0,18.0,6.0,0.0,1.0,21.0
Bitsch,5.0,133.0,359.0,0.0,104.0,485.0
Bière,431.0,142.0,861.0,0.0,79.0,131.0
Blatten,0.0,49.0,122.0,1.0,46.0,84.0
Blauen,0.0,49.0,287.0,112.0,0.0,259.0
Bleienbach,15.0,31.0,266.0,2.0,175.0,261.0
Blenio,43.0,659.0,519.0,1.0,287.0,328.0
Blonay - Saint-Légier,6451.0,654.0,2643.0,15.0,1437.0,1108.0
Blumenstein,0.0,36.0,607.0,0.0,207.0,439.0
Bodensee (SG),20.0,0.0,12.0,0.0,25.0,0.0
Bodensee (TG),84.0,18.0,46.0,3.0,10.0,32.0
Bodio,7.0,267.0,511.0,2.0,108.0,24.0
Bofflens,68.0,34.0,34.0,2.0,28.0,42.0
Bogis-Bossey,3.0,426.0,231.0,0.0,125.0,78.0
Bois-d'Amont,6.0,154.0,666.0,2.0,919.0,584.0
Bolken,5.0,32.0,288.0,3.0,205.0,62.0
Bolligen,0.0,333.0,3673.0,6.0,1450.0,1046.0
Boltigen,0.0,60.0,437.0,4.0,94.0,745.0
Bonaduz,0.0,80.0,1882.0,0.0,1096.0,450.0
Boncourt,2.0,82.0,809.0,8.0,155.0,115.0
Bonfol,0.0,36.0,417.0,3.0,69.0,137.0
Boningen,6.0,17.0,336.0,0.0,220.0,217.0
Boniswil,4.0,91.0,774.0,0.0,367.0,308.0
Bonstetten,376.0,56.0,2318.0,22.0,2115.0,850.0
Bonvillars,0.0,52.0,285.0,4.0,89.0,61.0
Boppelsen,0.0,60.0,635.0,0.0,626.0,155.0
Borex,53.0,291.0,529.0,0.0,115.0,156.0
Bosco/Gurin,1.0,18.0,13.0,0.0,5.0,26.0
Bossonnens,194.0,50.0,555.0,0.0,571.0,212.0
Boswil,20.0,99.0,1535.0,3.0,805.0,577.0
Bottens,509.0,156.0,426.0,3.0,152.0,129.0
Bottenwil,5.0,112.0,342.0,0.0,220.0,203.0
Botterens,0.0,21.0,247.0,3.0,261.0,191.0
Bottighofen,885.0,38.0,826.0,17.0,686.0,242.0
Bottmingen,2768.0,115.0,1588.0,1137.0,6.0,1167.0
Boudry,2246.0,54.0,2078.0,6.0,737.0,1055.0
Bougy-Villars,11.0,59.0,306.0,0.0,78.0,48.0
Boulens,147.0,43.0,95.0,0.0,36.0,51.0
Bourg-Saint-Pierre,6.0,87.0,70.0,0.0,7.0,59.0
Bourg-en-Lavaux,1061.0,845.0,2507.0,6.0,662.0,376.0
Bournens,186.0,92.0,88.0,0.0,107.0,30.0
Bourrignon,0.0,7.0,101.0,0.0,21.0,144.0
Boussens,614.0,101.0,167.0,0.0,82.0,38.0
Bovernier,7.0,269.0,270.0,2.0,246.0,139.0
Bowil,8.0,38.0,421.0,4.0,146.0,787.0
Boécourt,0.0,40.0,427.0,0.0,22.0,480.0
Braunau,0.0,19.0,278.0,0.0,212.0,328.0
Bregaglia,1.0,630.0,338.0,17.0,130.0,493.0
Breggia,14.0,428.0,954.0,2.0,448.0,142.0
Breil/Brigels,0.0,130.0,508.0,14.0,303.0,814.0
Breitenbach,641.0,209.0,2147.0,11.0,650.0,425.0
Bremblens,332.0,61.0,133.0,0.0,67.0,17.0
Bremgarten (AG),9.0,581.0,2748.0,6.0,2224.0,2956.0
Bremgarten bei Bern,400.0,315.0,1975.0,0.0,682.0,899.0
Brenzikofen,0.0,50.0,210.0,0.0,81.0,147.0
Bretigny-sur-Morrens,323.0,87.0,342.0,2.0,81.0,82.0
Bretonnières,0.0,34.0,134.0,0.0,50.0,53.0
Bretzwil,0.0,14.0,404.0,77.0,0.0,268.0
Brienz (BE),10.0,87.0,1654.0,10.0,513.0,918.0
Brienzersee,4.0,7.0,87.0,0.0,27.0,30.0
Brienzwiler,0.0,7.0,259.0,0.0,56.0,178.0
Brig-Glis,348.0,613.0,8955.0,0.0,2292.0,1050.0
Brione sopra Minusio,2.0,169.0,148.0,5.0,147.0,58.0
Brislach,3.0,59.0,656.0,300.0,0.0,695.0
Brissago,17.0,548.0,736.0,1.0,299.0,134.0
Brittnau,621.0,226.0,1599.0,0.0,1130.0,515.0
Broc,85.0,96.0,1136.0,0.0,403.0,1025.0
Brot-Plamboz,0.0,10.0,83.0,0.0,46.0,185.0
Brugg,4653.0,465.0,4475.0,0.0,1935.0,1408.0
Brunegg,265.0,39.0,163.0,0.0,303.0,102.0
Brusino Arsizio,2.0,123.0,197.0,1.0,102.0,29.0
Brusio,0.0,387.0,262.0,18.0,121.0,376.0
Brügg,390.0,211.0,2559.0,3.0,847.0,430.0
Brünisried,0.0,38.0,223.0,0.0,201.0,223.0
Brüttelen,0.0,35.0,282.0,3.0,109.0,185.0
Brütten,6.0,108.0,1143.0,0.0,683.0,167.0
Bubendorf,4.0,525.0,1794.0,633.0,3.0,1430.0
Bubikon,1468.0,341.0,3121.0,19.0,1817.0,628.0
Buch (SH),1.0,10.0,84.0,0.0,70.0,138.0
Buch am Irchel,4.0,23.0,264.0,0.0,456.0,295.0
Buchberg,0.0,45.0,277.0,0.0,306.0,221.0
Buchegg,22.0,49.0,1059.0,11.0,488.0,922.0
Buchholterberg,0.0,74.0,472.0,0.0,206.0,822.0
Buchillon,206.0,55.0,265.0,0.0,146.0,43.0
Buchrain,9.0,148.0,2024.0,54.0,2383.0,1864.0
Buchs (AG),3270.0,400.0,2299.0,0.0,1697.0,722.0
Buchs (SG),516.0,198.0,5789.0,25.0,2307.0,4424.0
Buchs (ZH),1312.0,132.0,2825.0,0.0,1497.0,830.0
Buckten,0.0,48.0,335.0,70.0,0.0,267.0
Bulle,36.0,585.0,8516.0,21.0,4495.0,11493.0
Bullet,20.0,88.0,335.0,3.0,75.0,173.0
Buochs,129.0,200.0,2746.0,6.0,1723.0,657.0
Bure,0.0,60.0,351.0,0.0,93.0,136.0
Burg im Leimental,0.0,9.0,137.0,33.0,0.0,100.0
Burgdorf,7113.0,148.0,5134.0,48.0,2393.0,1868.0
Burgistein,9.0,103.0,495.0,0.0,120.0,453.0
Bursinel,0.0,33.0,295.0,0.0,61.0,90.0
Bursins,422.0,53.0,155.0,3.0,88.0,68.0
Burtigny,24.0,47.0,184.0,0.0,30.0,146.0
Buseno,0.0,22.0,5.0,1.0,20.0,50.0
Bussigny,4788.0,795.0,2832.0,74.0,1042.0,725.0
Bussnang,302.0,40.0,887.0,11.0,536.0,790.0
Busswil bei Melchnau,0.0,12.0,46.0,0.0,50.0,81.0
Bussy-sur-Moudon,4.0,29.0,80.0,0.0,85.0,44.0
Buttisholz,0.0,163.0,819.0,0.0,1163.0,1233.0
Buttwil,0.0,88.0,544.0,0.0,417.0,239.0
Buus,2.0,36.0,383.0,153.0,2.0,544.0
Bäretswil,27.0,318.0,1846.0,18.0,1852.0,1037.0
Bäriswil,0.0,43.0,557.0,6.0,301.0,179.0
Bärschwil,0.0,32.0,419.0,1.0,98.0,264.0
Bätterkinden,589.0,308.0,1021.0,7.0,1028.0,360.0
Bättwil,0.0,26.0,778.0,0.0,139.0,197.0
Böckten,0.0,54.0,356.0,133.0,1.0,272.0
Bönigen,322.0,159.0,1117.0,24.0,505.0,393.0
Bösingen,0.0,149.0,962.0,1.0,1352.0,972.0
Böttstein,0.0,163.0,728.0,12.0,533.0,2625.0
Bözberg,18.0,126.0,654.0,0.0,522.0,374.0
Böztal,9.0,262.0,1055.0,5.0,928.0,592.0
Büetigen,7.0,19.0,471.0,8.0,201.0,272.0
Bühl,0.0,36.0,222.0,2.0,158.0,57.0
Bühler,92.0,46.0,974.0,5.0,331.0,438.0
Bülach,3118.0,503.0,9265.0,34.0,7926.0,1391.0
Bünzen,0.0,35.0,531.0,0.0,332.0,250.0
Bürchen,0.0,178.0,304.0,4.0,114.0,186.0
Büren (SO),11.0,23.0,430.0,0.0,311.0,279.0
Büren an der Aare,435.0,223.0,1957.0,10.0,655.0,462.0
Bürglen (TG),1646.0,63.0,1292.0,0.0,536.0,478.0
Bürglen (UR),2.0,401.0,1349.0,19.0,1131.0,1151.0
Büron,2.0,86.0,1172.0,0.0,1017.0,480.0
Büsserach,105.0,78.0,1333.0,0.0,661.0,167.0
Bütschwil-Ganterschwil,1457.0,176.0,992.0,40.0,778.0,1780.0
Büttenhardt,0.0,8.0,155.0,0.0,135.0,135.0
Büttikon,289.0,28.0,425.0,0.0,214.0,158.0
Cademario,1.0,110.0,427.0,2.0,211.0,41.0
Cadempino,198.0,93.0,706.0,0.0,280.0,63.0
Cadenazzo,137.0,313.0,1711.0,6.0,786.0,113.0
Calanca,0.0,77.0,8.0,0.0,11.0,122.0
Cama,0.0,423.0,114.0,0.0,29.0,50.0
Campo (Vallemaggia),1.0,16.0,4.0,1.0,4.0,57.0
Canobbio,651.0,146.0,792.0,0.0,592.0,141.0
Capriasca,91.0,813.0,3678.0,4.0,1770.0,537.0
Carouge (GE),11435.0,91.0,7724.0,8.0,1497.0,1080.0
Cartigny,51.0,48.0,712.0,0.0,26.0,190.0
Caslano,36.0,496.0,2671.0,1.0,996.0,172.0
Castaneda,0.0,136.0,67.0,3.0,11.0,54.0
Castel San Pietro,55.0,278.0,1243.0,5.0,531.0,190.0
Cazis,0.0,132.0,834.0,0.0,768.0,601.0
Celerina/Schlarigna,2.0,79.0,782.0,8.0,518.0,97.0
Centovalli,10.0,373.0,312.0,10.0,256.0,254.0
Cerentino,2.0,8.0,4.0,0.0,6.0,37.0
Cevio,24.0,360.0,402.0,0.0,207.0,158.0
Chalais,849.0,600.0,1203.0,11.0,628.0,453.0
Cham,5598.0,350.0,6212.0,0.0,3053.0,1805.0
Chamblon,309.0,95.0,61.0,0.0,53.0,48.0
Chamoson,9.0,940.0,1306.0,20.0,1326.0,549.0
Champagne,7.0,152.0,405.0,0.0,116.0,405.0
Champoz,0.0,3.0,78.0,2.0,38.0,48.0
Champtauroz,17.0,4.0,66.0,0.0,63.0,22.0
Champvent,332.0,24.0,183.0,3.0,80.0,103.0
Champéry,9.0,105.0,978.0,4.0,170.0,177.0
Chancy,53.0,104.0,966.0,0.0,320.0,262.0
Chapelle (Glâne),6.0,36.0,110.0,0.0,155.0,48.0
Chardonne,1680.0,159.0,766.0,5.0,279.0,277.0
Chavannes-de-Bogis,59.0,562.0,341.0,0.0,117.0,282.0
Chavannes-des-Bois,62.0,141.0,205.0,0.0,232.0,351.0
Chavannes-le-Chêne,76.0,12.0,113.0,5.0,40.0,83.0
Chavannes-le-Veyron,39.0,0.0,69.0,0.0,28.0,25.0
Chavannes-près-Renens,4279.0,84.0,3402.0,0.0,912.0,268.0
Chavannes-sur-Moudon,0.0,23.0,96.0,2.0,59.0,42.0
Chavornay,2962.0,231.0,1254.0,4.0,452.0,470.0
Cheseaux-Noréaz,122.0,171.0,208.0,2.0,149.0,97.0
Cheseaux-sur-Lausanne,1206.0,493.0,1643.0,4.0,689.0,405.0
Chessel,149.0,29.0,235.0,2.0,62.0,36.0
Chevilly,3.0,32.0,122.0,2.0,49.0,123.0
Chevroux,17.0,50.0,220.0,0.0,160.0,71.0
Chexbres,1290.0,92.0,629.0,6.0,131.0,86.0
Cheyres-Châbles,53.0,373.0,668.0,23.0,878.0,434.0
Chiasso,1350.0,296.0,4421.0,0.0,623.0,694.0
Chigny,119.0,30.0,163.0,0.0,156.0,62.0
Chippis,948.0,102.0,258.0,0.0,186.0,31.0
Choulex,412.0,78.0,448.0,0.0,183.0,80.0
Chur,20021.0,271.0,10464.0,45.0,3673.0,3434.0
Churwalden,24.0,167.0,1051.0,1.0,437.0,392.0
Château-d'Oex,6.0,271.0,1994.0,0.0,431.0,992.0
Châtel-Saint-Denis,369.0,594.0,3256.0,10.0,1972.0,1658.0
Châtel-sur-Montsalvens,0.0,57.0,111.0,0.0,103.0,66.0
Châtillon (FR),1.0,111.0,133.0,6.0,193.0,78.0
Châtillon (JU),0.0,23.0,233.0,0.0,123.0,96.0
Châtonnaye,117.0,49.0,281.0,0.0,323.0,122.0
Chénens,12.0,40.0,228.0,0.0,330.0,244.0
Chéserex,21.0,297.0,656.0,0.0,167.0,123.0
Chêne-Bougeries,5079.0,163.0,4973.0,26.0,1257.0,1677.0
Chêne-Bourg,3821.0,213.0,3989.0,0.0,637.0,586.0
Chêne-Pâquier,14.0,6.0,56.0,0.0,20.0,61.0
Clarmont,84.0,14.0,68.0,0.0,21.0,17.0
Clos du Doubs,9.0,121.0,555.0,9.0,168.0,506.0
Coeuve,4.0,28.0,367.0,0.0,131.0,219.0
Coinsins,0.0,133.0,225.0,0.0,83.0,95.0
Coldrerio,517.0,292.0,1403.0,0.0,506.0,128.0
Collex-Bossy,103.0,132.0,1122.0,0.0,212.0,112.0
Collina d'Oro,1089.0,420.0,2035.0,0.0,962.0,178.0
Collombey-Muraz,3761.0,727.0,1542.0,0.0,1425.0,2256.0
Collonge-Bellerive,3659.0,298.0,3071.0,0.0,1176.0,398.0
Collonges,14.0,140.0,290.0,2.0,254.0,162.0
Cologny,2419.0,39.0,2013.0,0.0,497.0,874.0
Comano,742.0,185.0,745.0,3.0,377.0,98.0
Commugny,63.0,816.0,1314.0,0.0,643.0,202.0
Concise,37.0,84.0,535.0,12.0,133.0,222.0
Confignon,1489.0,131.0,1730.0,0.0,424.0,722.0
Conters im Prättigau,5.0,29.0,61.0,0.0,41.0,118.0
Conthey,3405.0,903.0,1992.0,6.0,1272.0,1445.0
Coppet,39.0,562.0,1854.0,0.0,503.0,170.0
Corbeyrier,3.0,47.0,218.0,0.0,36.0,162.0
Corbières,4.0,68.0,332.0,4.0,381.0,228.0
Corcelles (BE),0.0,11.0,121.0,0.0,26.0,57.0
Corcelles-le-Jorat,35.0,24.0,188.0,0.0,110.0,142.0
Corcelles-près-Concise,31.0,31.0,179.0,0.0,80.0,105.0
Corcelles-près-Payerne,316.0,120.0,1218.0,0.0,678.0,388.0
Corgémont,3.0,112.0,1053.0,0.0,369.0,297.0
