,Gemeinde,Bauperiode,Energiequelle,Anzahl
0,Glarus Süd,8011.0,Holz,1447
1,Glarus,8011.0,Heizöl,624
2,Glarus Nord,8011.0,Holz,590
3,Glarus Nord,8011.0,Heizöl,576
4,Glarus Süd,8011.0,Heizöl,557
5,Glarus Süd,8011.0,Keine,405
6,Glarus,8011.0,Holz,376
7,Glarus Nord,8014.0,Heizöl,375
8,Glarus Nord,8013.0,Heizöl,365
9,Glarus Nord,8012.0,Heizöl,349
10,Glarus Süd,8011.0,Elektrizität,349
11,Glarus Nord,8015.0,Heizöl,337
12,Glarus,8011.0,Gas,332
13,Glarus,8012.0,Heizöl,302
14,Glarus Süd,8012.0,Holz,284
15,Glarus,8013.0,Heizöl,280
16,Glarus Nord,8017.0,Heizöl,239
17,Glarus Süd,8012.0,Heizöl,235
18,Glarus,8015.0,Heizöl,204
19,Glarus Nord,8018.0,Heizöl,177
20,Glarus Nord,8023.0,Unbestimmt,166
21,Glarus Nord,8019.0,Keine,165
22,Glarus,8014.0,Heizöl,165
23,Glarus Nord,8012.0,Holz,165
24,Glarus Süd,8019.0,Keine,165
25,Glarus Süd,8012.0,Keine,159
26,Glarus Süd,8013.0,Heizöl,159
27,Glarus,8011.0,Elektrizität,156
28,Glarus Süd,8015.0,Heizöl,150
29,Glarus Süd,8013.0,Keine,149
30,Glarus Süd,8015.0,Elektrizität,145
31,Glarus Süd,8013.0,Holz,138
32,Glarus Nord,8019.0,Heizöl,130
33,Glarus Nord,8016.0,Heizöl,128
34,Glarus Süd,8015.0,Holz,127
35,Glarus Nord,8013.0,Holz,123
36,Glarus Nord,8022.0,Unbestimmt,121
37,Glarus Nord,8011.0,Keine,120
38,Glarus Nord,8011.0,Elektrizität,119
39,Glarus Süd,8014.0,Heizöl,119
40,Glarus Nord,8021.0,Unbestimmt,116
41,Glarus Nord,8014.0,Holz,110
42,Glarus Nord,8011.0,Gas,108
43,Glarus Süd,8011.0,Unbestimmt,107
44,Glarus Nord,8012.0,Keine,105
45,Glarus,8012.0,Holz,104
46,Glarus Nord,8021.0,Gas,95
47,Glarus Nord,8015.0,Keine,94
48,Glarus Süd,8014.0,Keine,94
49,Glarus Süd,8013.0,Elektrizität,91
50,Glarus Süd,8017.0,Heizöl,91
51,Glarus,8017.0,Heizöl,91
52,Glarus Süd,8012.0,Elektrizität,86
53,Glarus Süd,8019.0,Heizöl,86
54,Glarus Süd,8023.0,Unbestimmt,85
55,Glarus,8016.0,Heizöl,84
56,Glarus Süd,8017.0,Holz,82
57,Glarus Nord,8015.0,Holz,81
58,Glarus Süd,8018.0,Heizöl,76
59,Glarus Nord,8020.0,Gas,73
60,Glarus Nord,8019.0,Gas,72
61,Glarus Süd,8023.0,Keine,71
62,Glarus Nord,8013.0,Keine,70
63,Glarus,8020.0,Gas,69
64,Glarus Süd,8022.0,Unbestimmt,67
65,Glarus Nord,8015.0,Elektrizität,67
66,Glarus Süd,8014.0,Holz,65
67,Glarus Nord,8017.0,Holz,64
68,Glarus,8013.0,Holz,64
69,Glarus,8023.0,Unbestimmt,64
70,Glarus Süd,8017.0,Elektrizität,64
71,Glarus,8012.0,Gas,61
72,Glarus Süd,8016.0,Elektrizität,58
73,Glarus Nord,8020.0,Keine,56
74,Glarus Süd,8015.0,Keine,56
75,Glarus Süd,8020.0,Keine,53
76,Glarus Süd,8019.0,Holz,52
77,Glarus Nord,8012.0,Gas,49
78,Glarus,8011.0,Unbestimmt,49
79,Glarus,8018.0,Gas,45
80,Glarus,8018.0,Heizöl,45
81,Glarus Süd,8012.0,Unbestimmt,45
82,Glarus Süd,8014.0,Elektrizität,45
83,Glarus,8014.0,Holz,43
84,Glarus Nord,8020.0,Unbestimmt,42
85,Glarus Nord,8012.0,Elektrizität,41
86,Glarus Süd,8021.0,Keine,41
87,Glarus,8019.0,Heizöl,40
88,Glarus Süd,8017.0,Keine,40
89,Glarus Nord,8014.0,Keine,39
90,Glarus,8022.0,Unbestimmt,39
91,Glarus Süd,8016.0,Holz,38
92,Glarus,8019.0,Gas,38
93,Glarus,8021.0,Unbestimmt,37
94,Glarus Süd,8016.0,Heizöl,35
95,Glarus Süd,8021.0,Unbestimmt,34
96,Glarus Süd,8018.0,Holz,33
97,Glarus,8013.0,Gas,33
98,Glarus Nord,8011.0,Unbestimmt,33
99,Glarus Süd,8016.0,Keine,33
100,Glarus Nord,8017.0,Unbestimmt,32
101,Glarus Nord,8023.0,Gas,32
102,Glarus Süd,8022.0,Keine,32
103,Glarus Süd,8013.0,Unbestimmt,31
104,Glarus Nord,8016.0,Keine,31
105,Glarus Nord,8013.0,Elektrizität,31
106,Glarus Nord,8023.0,Keine,30
107,Glarus Süd,8019.0,Unbestimmt,29
108,Glarus Süd,8020.0,Unbestimmt,29
109,Glarus Nord,8016.0,Elektrizität,29
110,Glarus Süd,8022.0,Holz,28
111,Glarus,8013.0,Unbestimmt,28
112,Glarus Nord,8020.0,Heizöl,28
113,Glarus Nord,8015.0,Unbestimmt,28
114,Glarus Nord,8018.0,Unbestimmt,27
115,Glarus Nord,8017.0,Keine,27
116,Glarus Nord,8013.0,Unbestimmt,27
117,Glarus Nord,8019.0,Unbestimmt,26
118,Glarus Nord,8018.0,Gas,26
119,Glarus,8021.0,Gas,26
120,Glarus,8012.0,Elektrizität,26
121,Glarus,8020.0,Heizöl,25
122,Glarus,8015.0,Elektrizität,24
123,Glarus Süd,8015.0,Unbestimmt,23
124,Glarus Nord,8015.0,Gas,22
125,Glarus,8013.0,Elektrizität,21
126,Glarus Nord,8018.0,Holz,21
127,Glarus,8012.0,Unbestimmt,21
128,Glarus Süd,8018.0,Keine,21
129,Glarus Süd,8018.0,Elektrizität,20
130,Glarus Süd,8017.0,Unbestimmt,20
131,Glarus,8015.0,Holz,19
132,Glarus Nord,8016.0,Unbestimmt,19
133,Glarus Nord,8018.0,Keine,18
134,Glarus Süd,8021.0,Holz,18
135,Glarus Süd,8019.0,Elektrizität,18
136,Glarus,8020.0,Unbestimmt,18
137,Glarus,8023.0,Keine,18
138,Glarus Nord,8014.0,Unbestimmt,18
139,Glarus,8015.0,Unbestimmt,17
140,Glarus,8016.0,Elektrizität,17
141,Glarus Nord,8013.0,Gas,17
142,Glarus Nord,8016.0,Holz,17
143,Glarus,8019.0,Unbestimmt,16
144,Glarus Süd,8018.0,Unbestimmt,16
145,Glarus Nord,8022.0,Keine,16
146,Glarus Nord,8014.0,Elektrizität,15
147,Glarus,8019.0,Holz,15
148,Glarus,8014.0,Gas,15
149,Glarus Nord,8021.0,Keine,15
150,Glarus Süd,8020.0,Heizöl,14
151,Glarus,8023.0,Gas,14
152,Glarus Nord,8022.0,Fernwärme,14
153,Glarus,8017.0,Elektrizität,14
154,Glarus Nord,8012.0,Unbestimmt,14
155,Glarus Nord,8017.0,Elektrizität,13
156,Glarus Süd,8011.0,Gas,13
157,Glarus,8016.0,Unbestimmt,13
158,Glarus Süd,8023.0,Holz,13
159,Glarus Nord,8022.0,Gas,13
160,Glarus Nord,8020.0,Holz,12
161,Glarus Nord,8019.0,Holz,12
162,Glarus Nord,8021.0,Holz,12
163,Glarus,8015.0,Gas,12
164,Glarus Nord,8019.0,Fernwärme,12
165,Glarus Süd,8021.0,Elektrizität,12
166,Glarus Süd,8014.0,Unbestimmt,11
167,Glarus Nord,8014.0,Gas,11
168,Glarus,8019.0,Keine,11
169,Glarus Süd,8016.0,Unbestimmt,10
170,Glarus Nord,8023.0,Fernwärme,9
171,Glarus,8017.0,Holz,9
172,Glarus,8023.0,Fernwärme,9
173,Glarus Süd,8020.0,Holz,9
174,Glarus,8011.0,Keine,8
175,Glarus,8014.0,Unbestimmt,8
176,Glarus Nord,8018.0,Elektrizität,8
177,Glarus Nord,8023.0,Holz,7
178,Glarus Süd,8011.0,Fernwärme,7
179,Glarus Nord,8021.0,Heizöl,7
180,Glarus,8017.0,Gas,7
181,Glarus Nord,8021.0,Elektrizität,7
182,Glarus Nord,8019.0,Elektrizität,6
183,Glarus,8016.0,Holz,6
184,Glarus Süd,8014.0,Fernwärme,6
185,Glarus,8014.0,Keine,6
186,Glarus,8022.0,Gas,6
187,Glarus Süd,8022.0,Elektrizität,6
188,Glarus Süd,8020.0,Gas,6
189,Glarus Nord,8022.0,Holz,6
190,Glarus,8012.0,Keine,5
191,Glarus,8020.0,Keine,5
192,Glarus Nord,8023.0,Elektrizität,5
193,Glarus Nord,8011.0,Fernwärme,5
194,Glarus,8021.0,Holz,5
195,Glarus,8017.0,Unbestimmt,5
196,Glarus,8018.0,Holz,5
197,Glarus Nord,8017.0,Gas,5
198,Glarus,8014.0,Fernwärme,5
199,Glarus Nord,8018.0,Fernwärme,5
200,Glarus Süd,8020.0,Elektrizität,4
201,Glarus Süd,8021.0,Heizöl,4
202,Glarus Nord,8013.0,Fernwärme,4
203,Glarus,8022.0,Keine,4
204,Glarus Süd,8023.0,Fernwärme,4
205,Glarus Nord,8023.0,Sonne,4
206,Glarus Nord,8022.0,Heizöl,4
207,Glarus Süd,8015.0,Fernwärme,4
208,Glarus Nord,8020.0,Fernwärme,4
209,Glarus Süd,8013.0,Sonne,3
210,Glarus,8023.0,Holz,3
211,Glarus Nord,8015.0,Erdwärme,3
212,Glarus Nord,8016.0,Fernwärme,3
213,Glarus Süd,8014.0,Luft,3
214,Glarus Nord,8012.0,Fernwärme,3
215,Glarus Nord,8014.0,Fernwärme,3
216,Glarus Nord,8015.0,Fernwärme,3
217,Glarus,8023.0,Elektrizität,3
218,Glarus,8016.0,Gas,3
219,Glarus,8022.0,Holz,3
220,Glarus Süd,8023.0,Heizöl,3
221,Glarus Nord,8017.0,Luft,3
222,Glarus,8018.0,Unbestimmt,3
223,Glarus,8011.0,Fernwärme,3
224,Glarus Süd,8011.0,Sonne,3
225,Glarus,8021.0,Heizöl,3
226,Glarus Nord,8020.0,Elektrizität,3
227,Glarus,8020.0,Holz,2
228,Glarus Süd,8023.0,Elektrizität,2
229,Glarus,8019.0,Elektrizität,2
230,Glarus Süd,8021.0,Sonne,2
231,Glarus,8021.0,Fernwärme,2
232,Glarus Süd,8017.0,Luft,2
233,Glarus Süd,8019.0,Gas,2
234,Glarus Nord,8011.0,Luft,2
235,Glarus Nord,8014.0,Luft,2
236,Glarus Süd,8020.0,Fernwärme,2
237,Glarus Süd,8019.0,Sonne,2
238,Glarus,8021.0,Keine,2
239,Glarus,8018.0,Elektrizität,2
240,Glarus,8013.0,Keine,2
241,Glarus Süd,8013.0,Gas,2
242,Glarus,8013.0,Luft,2
243,Glarus,8012.0,Luft,2
244,Glarus Süd,8014.0,Sonne,2
245,Glarus Süd,8011.0,Luft,2
246,Glarus Nord,8022.0,Luft,2
247,Glarus Nord,8015.0,Luft,2
248,Glarus Nord,8021.0,Fernwärme,2
249,Glarus Nord,8022.0,Elektrizität,2
250,Glarus Süd,8012.0,Gas,2
251,Glarus,8015.0,Fernwärme,2
252,Glarus Nord,8018.0,Sonne,1
253,Glarus Süd,8020.0,Sonne,1
254,Glarus,8013.0,Sonne,1
255,Glarus,8014.0,Elektrizität,1
256,Glarus Süd,8012.0,Fernwärme,1
257,Glarus Nord,8018.0,Luft,1
258,Glarus Süd,8021.0,Fernwärme,1
259,Glarus Süd,8021.0,Gas,1
260,Glarus,8018.0,Fernwärme,1
261,Glarus,8020.0,Elektrizität,1
262,Glarus Nord,8019.0,Sonne,1
263,Glarus Nord,8023.0,Heizöl,1
264,Glarus Süd,8022.0,Heizöl,1
265,Glarus,8019.0,Fernwärme,1
266,Glarus,8014.0,Luft,1
267,Glarus Nord,8020.0,Luft,1
268,Glarus,8018.0,Keine,1
269,Glarus Nord,8021.0,Wasser,1
270,Glarus Süd,8023.0,Sonne,1
271,Glarus,8019.0,Luft,1
272,Glarus,8015.0,Keine,1
273,Glarus Süd,8012.0,Sonne,1
274,Glarus Süd,8016.0,Fernwärme,1
275,Glarus Süd,8015.0,Luft,1
276,Glarus,8012.0,Fernwärme,1
277,Glarus,8015.0,Sonne,1
278,Glarus Süd,8015.0,Gas,1
279,Glarus Nord,8013.0,Erdwärme,1
280,Glarus Süd,8017.0,Fernwärme,1
281,Glarus Süd,8017.0,Gas,1
282,Glarus,8016.0,Sonne,1
283,Glarus Nord,8012.0,Erdwärme,1
284,Glarus Süd,8017.0,Sonne,1
285,Glarus,8017.0,Erdwärme,1
286,Glarus Süd,8018.0,Fernwärme,1
287,Glarus,8012.0,Sonne,1
288,Glarus,8017.0,Keine,1
289,Glarus Nord,8016.0,Gas,1
290,Glarus Süd,8018.0,Luft,1
291,Glarus,8015.0,Luft,1
292,Glarus Süd,8013.0,Luft,1
293,Glarus Süd,8019.0,Fernwärme,1
294,Glarus Nord,8017.0,Erdwärme,1
295,Glarus Nord,8017.0,Fernwärme,1
296,Glarus,8013.0,Fernwärme,1
297,Glarus Süd,8019.0,Luft,1
298,Glarus Nord,8021.0,Luft,1
